elapsed_s,phase,rot_x_100,rot_y_100,lin_x_100,lin_y_100,pen,bias_z_100,num_fields,line_kind,raw
15.123475,0,-1.37,1.63,-23.00,-17.70,0,938.50,6,imu,"-1.37,1.63,-23.00,-17.70,0,938.50"
15.136066,0,-1.85,0.29,-22.40,-20.69,0,938.50,6,imu,"-1.85,0.29,-22.40,-20.69,0,938.50"
15.149062,0,-1.73,-0.93,-22.88,-23.80,0,938.50,6,imu,"-1.73,-0.93,-22.88,-23.80,0,938.50"
15.159519,0,-1.85,-2.03,-20.96,-23.08,0,938.50,6,imu,"-1.85,-2.03,-20.96,-23.08,0,938.50"
15.172537,0,-2.95,-4.23,-12.47,-35.88,0,938.50,6,imu,"-2.95,-4.23,-12.47,-35.88,0,938.50"
15.185526,0,-3.44,-4.72,-3.50,-49.76,0,938.50,6,imu,"-3.44,-4.72,-3.50,-49.76,0,938.50"
15.195981,0,-3.44,-4.35,-1.46,-60.65,0,938.50,6,imu,"-3.44,-4.35,-1.46,-60.65,0,938.50"
15.208975,0,-3.32,-4.11,-16.78,-53.71,0,938.50,6,imu,"-3.32,-4.11,-16.78,-53.71,0,938.50"
15.219458,0,-3.44,-3.50,-37.83,-54.90,0,938.50,6,imu,"-3.44,-3.50,-37.83,-54.90,0,938.50"
15.232488,0,-2.95,-3.50,-58.89,-54.07,0,938.50,6,imu,"-2.95,-3.50,-58.89,-54.07,0,938.50"
15.245172,0,-1.61,-2.89,-64.75,-63.04,0,938.50,6,imu,"-1.61,-2.89,-64.75,-63.04,0,938.50"
15.255641,0,-1.24,-2.03,-49.80,-68.42,0,938.50,6,imu,"-1.24,-2.03,-49.80,-68.42,0,938.50"
15.268621,0,-1.00,-2.64,-19.05,-66.75,0,938.50,6,imu,"-1.00,-2.64,-19.05,-66.75,0,938.50"
15.278797,0,,,,,,,1,text,-1.7
15.278861,0,,,,,,,2,text,"3,-1"
15.281657,0,,,,,,,5,text,".79,-1.94,-72.73,0,938.50"
15.292124,0,-1.37,0.66,-35.44,-66.63,0,938.50,6,imu,"-1.37,0.66,-35.44,-66.63,0,938.50"
15.304673,0,-1.00,1.76,-64.63,-62.20,0,938.50,6,imu,"-1.00,1.76,-64.63,-62.20,0,938.50"
15.314801,0,,,,,,,1,text,-0.5
15.317643,0,1,2.12,-82.22,-60.53,0,938.50,6,imu,"1,2.12,-82.22,-60.53,0,938.50"
15.328084,0,0.96,3.59,-64.75,-62.20,0,938.50,6,imu,"0.96,3.59,-64.75,-62.20,0,938.50"
15.341075,0,1.93,3.34,-53.51,-55.86,0,938.50,6,imu,"1.93,3.34,-53.51,-55.86,0,938.50"
15.351536,0,2.06,3.71,-29.94,-51.08,0,938.50,6,imu,"2.06,3.71,-29.94,-51.08,0,938.50"
15.364566,0,1.20,2.00,17.68,-44.85,0,938.50,6,imu,"1.20,2.00,17.68,-44.85,0,938.50"
15.374763,0,,,,,,,1,text,0.22
